Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
the-calm-before-the-storm,The Calm before the storm,This photo was inspired by a place my uncle took me while I was  visiting him in Florida.<br><br>Materials: Nikon D3 Camera<br><br>Only 1 available,THE ARTS WITH G,,"","Black And White, House Hold Decor, imported_from_etsy, imported_from_etsy_12847, photography, photos of the sunset",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4102413385_62ku.jpg?v=1667373674,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
gin-the-good-book,Gin & the good book,The idea for this photo came from one of my favorite movies the god father staring Al Pacino<br><br>Materials: Nikon camera<br><br>Only 1 available,THE ARTS WITH G,,"","black and white phot, imported_from_etsy, imported_from_etsy_12847, photography, photos, photos of gin",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4102370015_2b4v.jpg?v=1667373674,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
the-quakertown-square-flower-bed,the Quakertown square flower bed,this phot was taken I Quakertown right by the trolley barn and the old train station in old town Quakertown<br><br>Materials: Nikon camera<br><br>Only 1 available,THE ARTS WITH G,,"","color photo, flowers, imported_from_etsy, imported_from_etsy_12847, photography, train station",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4058837726_ae83.jpg?v=1667373654,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
photography,Photography,The first plastic bike at The Benjamin Franklin museum<br><br>Only 1 available,THE ARTS WITH G,,"","black and white, imported_from_etsy, imported_from_etsy_12847, Photography",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4057408680_vkgr.jpg?v=1667373654,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
the-night-dracula-returns,The Night Dracula Returns,I got the idea for this shot when I saw the full moon and thought that of one of my favorite horror movies Dracula the one with (Bela Lugosi) as Dracula<br><br>Only 1 available,THE ARTS WITH G,,"","Black and  White, imported_from_etsy, imported_from_etsy_12847, photography, photos",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4055218126_77pf.jpg?v=1667373654,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
the-big-ben,The big ben,This is a portrait  taken of the Benjamin Franklin monument at the Ben Franklin museum<br><br>Only 1 available,THE ARTS WITH G,,"","Benjamin Franklin, imported_from_etsy, imported_from_etsy_12847, photography",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4102809127_gc84.jpg?v=1667373654,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
the-liberty-bell-made-of-legos,The Liberty Bell made of Legos,This photo was taken at the Benjamin Franklin institute of the Lego version of the Liberty Bell<br><br>Only 1 available,THE ARTS WITH G,,"","ba, Black and wihte, imported_from_etsy, imported_from_etsy_12847, photography",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4057390986_engb.jpg?v=1667373654,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
the-doan-brothers,THE DOAN BROTHERS,THE DOAN BROTHERS AT REST<br><br>Only 1 available,THE ARTS WITH G,,"","bed room, gothic, horror, imported_from_etsy, imported_from_etsy_12847, photography, western cowboy",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,7.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068638676_m6v6.jpg?v=1667373642,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
the-doan-brothers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4116286953_1ylc.jpg?v=1667373642,2,,,,,,,,,,,,,,,,,,,,,,,,
the-doan-brothers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4116289713_mbd3.jpg?v=1667373642,3,,,,,,,,,,,,,,,,,,,,,,,,
the-doan-brothers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068641366_8kmo.jpg?v=1667373642,4,,,,,,,,,,,,,,,,,,,,,,,,
the-doan-brothers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4116306119_tepa.jpg?v=1667373642,5,,,,,,,,,,,,,,,,,,,,,,,,
the-doan-brothers,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068659818_34nl.jpg?v=1667373642,6,,,,,,,,,,,,,,,,,,,,,,,,
its-all-blue-skies,Its all blue skies,this photo is available as a desktop background  and an phone background<br><br>Materials: Nikon Camera<br><br>Only 1 available,THE ARTS WITH G,,"","hand made, imported_from_etsy, imported_from_etsy_12847, photo, photography",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,kg,,,,,active
a-storm-is-coming,A storm is coming,This is a photo that you can use for a desktop background or phone background<br><br>Materials: Nikon D3 Camera<br><br>Only 1 available,THE ARTS WITH G,,"","Black And White, home Decor, imported_from_etsy, imported_from_etsy_12847, photography, photos",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4109664305_kfzb.jpg?v=1667373635,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
let-sleeping-dogs-lie,let sleeping dogs lie,this is a photo you can use for a desk top background or an phone background,THE ARTS WITH G,,"","Black and White, dog photo, imported_from_etsy, imported_from_etsy_12847, photo, photography",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4109878465_kaeu.jpg?v=1667373635,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
train-on-the-tracks,train on the tracks,the train on the tracks was inspired by a game me and my friend Mike use top play with my brother the game was called hobos<br><br>Materials: Nikon Camera<br><br>Only 1 available,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847, photography, photos, tracks, train",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4058857824_rn7q.jpg?v=1667373635,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
next-level-mens-cvc-v-6240,Next Level Men's CVC V | 6240,"Fabric:<br><br>	● 7.2 oz./lin. yd., 60% combed ringspun cotton, 40% polyester jersey, 32 singles<br><br>Features:<br><br>	● 60% combed ringspun cotton, 40% polyester jersey<br>	● 4.3 oz.<br>	● 32 singles<br>	● Slightly heathered<br>	● Fabric laundered for reduced shrinkage<br>	● 1x1 baby rib-knit set-in collar<br>	● Tear-away label<br>	● Sideseamed",THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,Black,Size,S,,,Iek6vM6paR7fUTIrt_3566,0.0,shopify,continue,manual,30.53,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4135821695_krkk.jpg?v=1667373624,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
next-level-mens-cvc-v-6240,,,,,,,,,Black,,M,,,B3k0PHlBDEf5BxNiy_730,0.0,shopify,continue,manual,30.53,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4088171082_airx.jpg?v=1667373624,2,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Black,,L,,,wOK3rtJ1vFDqc9wnj_591,0.0,shopify,continue,manual,30.53,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4135821657_56w2.jpg?v=1667373624,3,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Black,,XL,,,u4IVfAC6JOxsgDWi5_6357,0.0,shopify,continue,manual,30.53,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4088171034_9y9c.jpg?v=1667373624,4,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Black,,2XL,,,0Qr6pGHj6MIdHNDvA_5988,0.0,shopify,continue,manual,30.53,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Charcoal,,S,,,zv486HDW3bflkAM9q_3159,0.0,shopify,continue,manual,30.53,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Charcoal,,M,,,jeloTvZz5jyzmVqkK_3832,0.0,shopify,continue,manual,30.53,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Charcoal,,L,,,6n2EbpwnOBSRxbxTD_8868,0.0,shopify,continue,manual,30.53,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Charcoal,,XL,,,3p8t04syEGCVcCdhh_2976,0.0,shopify,continue,manual,30.53,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
next-level-mens-cvc-v-6240,,,,,,,,,Charcoal,,2XL,,,v5e9aVQ2Ro7BpBs2L_1641,0.0,shopify,continue,manual,30.53,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
moland-house-property,MOLAND HOUSE PROPERTY,THE MOLAND HOUSE PROPERTY PHOPTOS<br><br>Materials: Nikon D3 Camera<br><br>Only 1 available,THE ARTS WITH G,,"","history, imported_from_etsy, imported_from_etsy_12847, landscape, MOLAND HOUSE, PROPERTY",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,6.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068701172_ii2u.jpg?v=1667373621,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
moland-house-property,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068701164_p29h.jpg?v=1667373621,2,,,,,,,,,,,,,,,,,,,,,,,,
moland-house-property,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068701162_jf0i.jpg?v=1667373621,3,,,,,,,,,,,,,,,,,,,,,,,,
moland-house-property,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068701160_rw4p.jpg?v=1667373621,4,,,,,,,,,,,,,,,,,,,,,,,,
moland-house-property,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4116349069_abv2.jpg?v=1667373621,5,,,,,,,,,,,,,,,,,,,,,,,,
sunset-at-the-trolley-barn,Sunset at the Trolley Barn,This is a shot of a local hotspot in my town and the sun just happened to be setting just right that night<br><br>Materials: Nikon Camera D3<br><br>Only 1 available,THE ARTS WITH G,,"","Black and White, imported_from_etsy, imported_from_etsy_12847, photography, photos",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,3.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4102837281_az9x.jpg?v=1667373620,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
prohibition-tunnel-entrances-in-doylestown,Prohibition Tunnel entrances in Doylestown,These photos are photographs of Prohibition Tunnels in Doylestown<br><br>Only 1 available,THE ARTS WITH G,,"","Doylestown, imported_from_etsy, imported_from_etsy_12847, photography, photos, Western Cowboy",true,Title,Default Title,,,,,"",0.0,shopify,continue,manual,5.00,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068663154_9ux0.jpg?v=1667373620,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
prohibition-tunnel-entrances-in-doylestown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4116311233_1jzw.jpg?v=1667373620,2,,,,,,,,,,,,,,,,,,,,,,,,
prohibition-tunnel-entrances-in-doylestown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068663708_ryxj.jpg?v=1667373620,3,,,,,,,,,,,,,,,,,,,,,,,,
prohibition-tunnel-entrances-in-doylestown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4068663712_9z5x.jpg?v=1667373620,4,,,,,,,,,,,,,,,,,,,,,,,,
frosted-glass-beer-mug-1,Frosted glass beer mug,16oz Frosted Beer Mug with the infamous Doan brothers graves on the front.,THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,White,Size,16OZ,,,4mkKT1LpAwxvqsIM5_3845,0.0,shopify,continue,manual,15.54,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4135795691_n3q6.jpg?v=1667373616,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
frosted-glass-beer-mug-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4088145486_34sv.jpg?v=1667373616,2,,,,,,,,,,,,,,,,,,,,,,,,
frosted-glass-beer-mug-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4088145462_8cw8.jpg?v=1667373616,3,,,,,,,,,,,,,,,,,,,,,,,,
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,Gildan Adult Heavy Cotton 8.8 oz./lin. yd. Long-Sleeve T-Shirt | G540,"Fabric:<br><br>	● 100% preshrunk cotton<br>	● Ash Grey is 99% cotton, 1% polyester; Sport Grey is 90% cotton, 10% polyester<br>	● S. Orange, Safety Green &amp; Graphite Heather are 50% cotton, 50% polyester<br><br>Features:<br><br>	● Double-needle stitching throughout<br>	● Seamless rib at neck<br>	● Taped shoulder-to-shoulder<br>	● Ribbed cuffs<br>								",THE ARTS WITH G,,"","imported_from_etsy, imported_from_etsy_12847",true,Color,Ash Grey,Size,S,,,87qlISrNAdrnnVa5z_7308,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4091280158_cz8r.jpg?v=1667373602,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
gildan-adult-heavy-cotton-8-8-oz-lin-yd-long-sleeve-t-shirt-g540,,,,,,,,,Ash Grey,,M,,,fvVKDTloHzd55e9yZ_9336,0.0,shopify,continue,manual,16.13,,true,true,,https://cdn.shopify.com/s/files/1/0672/9125/1006/products/il_fullxfull.4091280108_cqkl.jpg?v=1667373602,2,,,,,,,,,,,,,,,,,,,kg,,,,,
